물품대분류,상품명,물품판매량,제품단가
FC,화이트 에코프레시 맥시슬림 슈퍼롱 오버나이트 8개입 X3,5,16500
FC,화이트 에코프레시 맥시슬림 슈퍼롱 오버나이트 8개입 X4,12,22000
FC,화이트 에코프레시 슈퍼롱 오버나이트 8개입,80,9419
FC,화이트 에코프레시 울트라슬림 날개 대형 16개입,71,10318
FC,화이트 에코프레시 울트라슬림 날개 대형 16개입 (EA),2,5940
FC,화이트 에코프레시 울트라슬림 날개 대형 16개입 X3,5,19800
FC,화이트 에코프레시 울트라슬림 날개 대형 16개입 X4,23,28696
FC,화이트 에코프레시 울트라슬림 날개 중형 18개입,94,11234
FC,화이트 에코프레시 울트라슬림 날개 중형 18개입 (EA),8,7425
FC,화이트 에코프레시 울트라슬림 날개 중형 18개입 X3,26,24369
FC,화이트 에코프레시 울트라슬림 날개 중형 18개입 X4,21,26400
FC,화이트 에코프레시 팬티라이너 롱 44개입 (EA),30,6264
FC,화이트 에코프레시 팬티라이너 롱 44개입 X4,18,24489
FC,화이트 에코프레시？팬티라이너 롱 44개입,76,10303
FC,화이트 입는 오버나이트 대형 8개입,41,15576
FC,화이트 입는 오버나이트 대형 L 8개입,62,16481
FC,화이트 입는 오버나이트 대형 L 8개입 (EA),5,11124
FC,화이트 입는 오버나이트 대형 L 8개입 X2,4,25750
FC,화이트 입는 오버나이트 중형 8개입,28,15082
FC,화이트 입는 오버나이트 중형 M 8개입,36,17167
FC,화이트 입는 오버나이트 중형 M 8개입 (EA),16,12746
FC,화이트 입는 오버나이트 중형 M 8개입 X2,4,30900
FC,화이트 클린 울트라슬림 날개 대형 17개입,6,7250
FC,화이트 클린 울트라슬림 날개 중형 19개입,12,6767
FC,화이트 탐폰 레귤러 16개입,50,10143
FC,화이트 탐폰 슈퍼 16개입,53,11233
FC,화이트 탐폰 오가닉 레귤러 14개입,6,14000
FC,화이트 탐폰 오가닉 슈퍼 14개입,6,14000
FC,화이트 한듯안한듯 팬티라이너 롱 36개입,28,6750
FC,화이트 한듯안한듯 팬티라이너 롱 36개입 (EA),11,5523
FC,화이트 한듯안한듯 팬티라이너 롱 36개입 X3,3,19500
FMC,(1+1) 크리넥스 버블버블 핸드워시 그린향 거품펌프형 250ml + 용기형리필 250ml X 2,30,0
FMC,(1+1) 크리넥스 버블버블 핸드워시 상큼향 거품펌프형 250ml + 용기형리필 250ml X 2,17,0
FMC,(핫딜위크/1+1) 스카트 주방 위생 세트,12,0
FMC,(핫딜위크/1+1) 크리넥스 칼로리라이트 키친타월 55매 X 3롤,6,0
FMC,[1+1] 스카트 항균 프레쉬블루 빨아쓰는 행주타월 45매 X 4롤,30,24800
FMC,[1+1] 크리넥스 데코앤소프트 클래식 27-30롤,53,39177
FMC,[1+1] 크리넥스 마이비데 46매 X 10팩,27,36600
FMC,[1+1] 크리넥스 버블버블 핸드워시 그린향 거품펌프형 250ml + 용기형리필 250ml X 2,27,0
FMC,[1+1] 크리넥스 버블버블 핸드워시 상큼향 거품펌프형 250ml + 용기형리필 250ml X 2,16,0
FMC,[1+1] 크리넥스 순수 3겹 소프트 27m-30롤,64,32794
FMC,[1+1] 크리넥스 울트라클린 27M 30롤,7,35820
FMC,[2020년 2월 신제품] 크리넥스 KF94 데일리 방역 마스크 블랙 17P,69,16900
FMC,[2020년 2월 신제품] 크리넥스 KF94 데일리 방역 마스크 화이트 대형 1P X2,88,11455
FMC,[2020년 2월 신제품] 크리넥스 카카오 프렌즈 건강마스크 성인 중형 (5P),31,13548
FMC,[2020년 2월 신제품] 크리넥스 카카오 프렌즈 입체마스크 3D 베이비용 (3개입),209,10760
FMC,[2020년 2월 신제품] 크리넥스 카카오 프렌즈 입체마스크 3D 어린이 (3개입),72,11000
FMC,[2020년 2월 신제품] 크리넥스 황사마스크 뉴디자인플러스 소형 1P X2,23,12522
FMC,[2020년 3월 신제품] 크리넥스 KF94 데일리 방역 마스크 화이트 대형 17P,14,12900
FMC,[2020년 3월 신제품] 크리넥스 가습 촉촉 마스크 뉴 대형 2P,10,14700
FMC,[2020년 3월 신제품] 크리넥스 스타일 마스크 블랙 대형 3P,6,9500
FMC,[2020년 3월 신제품] 크리넥스 안심 물티슈 캡형 60매,9,7333
FMC,[2020년 3월 신제품] 크리넥스 안심 물티슈 캡형 60매 (EA),24,6311
FMC,[2020년 3월 신제품] 크리넥스 안심 물티슈 휴대용 20매X3개입,28,8750
FMC,[2020년 3월 신제품] 크리넥스 안심 물티슈 휴대용 20매X3개입 (EA),64,4676
FMC,[대량발주] 택배파손_0102,1,30800
FMC,[사용완료] 크리넥스 KF94 데일리 방역 마스크 화이트 대형 17P,8,12900
FMC,[신규회원 한정특가] [1+1] 스카트 항균 프레쉬블루 행주타올 45매 X 4롤,61,24000
FMC,"[쿠폰적용가11,940원] 크리넥스 마이비데 캡형 42매 X 9팩 카카오프렌즈",12,21350
FMC,"[쿠폰적용가22,790원] 크리넥스 순수 3겹 소프트 27m-30롤 X 2",21,46124
FMC,"[쿠폰적용가25,490원] 크리넥스 데코앤소프트 클래식 27-30롤 X 2",16,38200
FMC,"[쿠폰적용가26,860원] 크리넥스 3겹 울트라클린 27m 30롤 X 2",4,39800
FMC,"[쿠폰적용가42,240원] 크리넥스 황사마스크 뉴디자인플러스 대형 3P X 16",3,64000
FMC,"[쿠폰적용가42,240원] 크리넥스 황사마스크 뉴디자인플러스 소형 3P X 16",1,64000
FMC,“스페인하숙에 나온 바로 그 행주” 스카트 항균 3겹 위생행주 20매,42,8203
FMC,“스페인하숙에 나온 바로 그 행주” 스카트 항균 클리어 핑크 행주타올 45매 x 2롤,23,12661
FMC,“스페인하숙에 나온 바로 그 행주” 스카트 항균 프레쉬블루 행주타올 45매 X 4롤,161,13491
FMC,메이브리즈 KF80 황사마스크 대형 20P (EA),1,10440
FMC,스카트 10주년기념 빨아쓰는 행주타월 63매 X 2롤,168,8381
FMC,스카트 10주년기념 행주타월 63매 X 2롤,30,8067
FMC,스카트 THE 버블 수세미 베이지 50매,15,8667
FMC,스카트 THE 버블 수세미 베이지 50매 (EA),51,7173
FMC,스카트 THE 버블 수세미 브라운 30매 (EA),41,4244
FMC,스카트 THE 보송 습기제거제 3P (EA),23,6604
FMC,스카트 THE 보송 습기제거제 18P,9,24389
FMC,스카트 기름때전용 티슈 30매,62,6923
FMC,스카트 기름때전용 티슈 30매 (EA),62,4881
FMC,스카트 막대걸레 베이직 표준형,22,25300
FMC,스카트 막대걸레 베이직 표준형 (EA),19,21800
FMC,스카트 물걸레 청소포 올인원 표준형 25매,13,14423
FMC,스카트 물걸레 청소포 올인원 표준형 25매 (EA),19,11895
FMC,스카트 잘 닦이는 세정티슈 80매,39,5782
FMC,스카트 잘 닦이는 세정티슈 80매 (EA),33,5382
FMC,스카트 점착식 청소포 표준형 30매,7,7600
FMC,스카트 점착식 청소포 표준형 30매 (EA),9,8433
FMC,스카트 정전기청소포 프리미엄 표준형 30매,32,7088
FMC,스카트 정전기청소포 프리미엄 표준형 30매 (EA),15,4813
FMC,스카트 하루한장 양면수세미 설거지용 10매,436,5405
FMC,스카트 하루한장 양면수세미 설거지용 10매 (EA),48,3493
FMC,스카트 하루한장 일회용 양면수세미 설거지용 10매,65,4840
FMC,스카트 항균 3겹 빨아쓰는 위생행주 20매,112,9493
FMC,스카트 항균 3겹 빨아쓰는 위생행주 20매 (EA),7,7920
FMC,스카트 항균 3겹 위생행주 20매,71,10039
FMC,스카트 항균 빨아쓰는 행주타월 72매 (EA),11,4900
FMC,스카트 항균 클리어 핑크 빨아쓰는 행주타올 45매 x 2롤,2,10400
FMC,스카트 항균 클리어 핑크 빨아쓰는 행주타월 45매 x 2롤,81,14894
FMC,스카트 항균 클리어 핑크 빨아쓰는 행주타월 45매 x 2롤 (EA),22,8886
FMC,스카트 항균 클리어 핑크 행주타올 45매 x 2롤,25,14560
FMC,스카트 항균 클리어 핑크 행주타월  30매,45,10096
FMC,스카트 항균 클리어 핑크 행주타월  30매 (EA),17,7635
